銘柄コード(Ticker Symbol),銘柄名(Company Name),市場(Market)
PRGO,Perrigo Company plc,NYSE
ROL,Rollins Inc.,NYSE
RSG,Republic Services Inc.,NYSE
TIF,Tiffany & Company,NYSE
WHG,Westwood Holdings Group Inc.,NYSE
XLNX,Xilinx Inc.,NASDAQ
AAN,Aaron's Inc.,NYSE
ACU,Acme United Corp.,AMEX
BBY,Best Buy Corp.,NYSE
BHB,Bar Harbor Bankshares,AMEX
COST,Costco Wholesale,NASDAQ
CPK,Chesapeake Utilities,NYSE
D,Dominion Energy Inc.,NYSE
EIX,Edison International,NYSE
HAS,Hasbro Inc.,NASDAQ
JBHT,JB Hunt Transport Services Inc.,NASDAQ
K,Kellogg Company,NYSE
LMT,Lockheed Martin,NYSE
LNN,Lindsay Corp.,NYSE
LNT,Alliant Energy Corp.,NASDAQ
NHC,National Healthcare Corp.,AMEX
NOC,Northrop Grumman,NYSE
OHI,Omega Healthcare Investors,NYSE
OXY,Occidental Petroleum,NYSE
QCOM,Qualcomm Inc.,NASDAQ
RGCO,RGC Resources Inc.,NASDAQ
RHI,Robert Half International Inc.,NYSE
SLGN,Silgan Holdings Inc.,NASDAQ
SR,Spire Inc.,NYSE
SRE,Sempra Energy,NYSE
UTMD,Utah Medical Products Inc.,NASDAQ
VSEC,VSE Corp.,NASDAQ
WEC,WEC Energy Group Inc.,NYSE
WLK,Westlake Chemical Corp.,NYSE
WM,Waste Management,NYSE
XEL,Xcel Energy,NASDAQ
AEL,American Equity Investment Life Holding Co.,NYSE
AIZ,Assurant Inc.,NYSE
AMP,Ameriprise Financial Inc.,NYSE
BMRC,Bank of Marin Bancorp,NASDAQ
CSX,CSX Corp.,NASDAQ
DLR,Digital Realty Trust,NYSE
DUK,Duke Energy Corp.,NYSE
ELS,Equity LifeStyle Properties,NYSE
FMAO,Farmers and Merchants Bancorp,NASDAQ
GIS,General Mills,NYSE
HEP,Holly Energy Partners LP,NYSE
HWKN,Hawkins Inc.,NASDAQ
JJSF,J&J Snack Foods Corp.,NASDAQ
LSTR,Landstar System Inc.,NASDAQ
MNRO,Monro Inc.,NASDAQ
NWE,NorthWestern Corp.,NYSE
R,Ryder System,NYSE
RBC,Regal Beloit Corp.,NYSE
RTN,Raytheon Company,NYSE
STE,Steris plc,NYSE
TPL,Texas Pacific Land Trust,NYSE
TRV,Travelers Companies,NYSE
TXN,Texas Instruments,NASDAQ
ABC,AmerisourceBergen Corp.,NYSE
ACN,Accenture plc,NYSE
AMNF,Armanino Foods of Distinction Inc.,
APU,AmeriGas Partners LP,NYSE
BOKF,BOK Financial Corp.,NASDAQ
CMI,Cummins Inc.,NYSE
CNP,CenterPoint Energy,NYSE
EVRG,Evergy Inc,NYSE
GL,Globe Life Inc,NYSE
HONT,Honat Bancorp Inc.,
ISCA,International Speedway Corp.,NASDAQ
KR,Kroger Company,NYSE
NEU,NewMarket Corp.,NYSE
POR,Portland General Electric Co.,NYSE
THG,Hanover Insurance Group (The),NYSE
VZ,Verizon Communications,NYSE
WSM,Williams-Sonoma Inc.,NYSE
AFG,American Financial Group Inc.,NYSE
BR,Broadridge Financial Solutions Inc.,NYSE
CMS,CMS Energy Corp.,NYSE
COLM,Columbia Sportswear Co.,NASDAQ
EAT,Brinker International,NYSE
ET,Energy Transfer LP,NYSE
EVR,Evercore Partners Inc.,NYSE
ISBA,Isabella Bank Corp.,
SWX,Southwest Gas Corp.,NYSE
SXT,Sensient Technologies Corp.,NYSE
UNP,Union Pacific,NYSE
AWK,American Water Works,NYSE
BIP,Brookfield Infrastructure Partners LP,NYSE
CMCSA,Comcast Corp.,NASDAQ
ENSG,Ensign Group Inc.,NASDAQ
FFMR,First Farmers Financial Corp.,
FNV,Franco-Nevada Corp.,NYSE
HEI,HEICO Corp.,NYSE
HI,Hillenbrand Inc.,NYSE
HIFS,Hingham Institution for Savings,NASDAQ
KWR,Quaker Chemical Corp.,NYSE
LAZ,Lazard Limited,NYSE
MCK,McKesson Corp.,NYSE
OGE,OGE Energy Corp.,NYSE
QNTO,Quaint Oak Bancorp Inc.,
CHE,Chemed Corp.,NYSE
HUBB,Hubbell Inc.,NYSE
LMNR,Limoneira Company,NASDAQ
MKTX,MarketAxess Holdings Inc.,NASDAQ
ORCL,Oracle Corp.,NYSE
PFG,Principal Financial Group Inc.,NASDAQ
PM,Philip Morris International,NYSE
PRU,Prudential Financial Inc.,NYSE
RGA,Reinsurance Group of America Inc.,NYSE
UNM,Unum Group,NYSE
V,Visa Inc.,NYSE
AIT,Applied Industrial Technologies Inc.,NYSE
ASH,Ashland Global Holdings Inc.,NYSE
ATVI,Activision Blizzard Inc.,NASDAQ
BCPC,Balchem Inc.,NASDAQ
BEP,Brookfield Renewable Partners LP,NYSE
BLK,BlackRock Inc.,NYSE
BMY,Bristol-Myers Squibb Co.,NYSE
CBOE,CBOE Holdings Inc.,NASDAQ
CE,Celanese Corp.,NYSE
CHS,Chico's FAS Inc.,NYSE
CMA,Comerica Inc.,NYSE
CMD,Cantel Medical Corp.,NYSE
CNS,Cohen & Steers Inc.,NYSE
COR,CoreSite Realty Corp.,NYSE
DTE,DTE Energy Company,NYSE
ETN,Eaton Corp. plc,NYSE
EXR,Extra Space Storage Inc.,NYSE
FIBK,First Interstate Bancsystem Inc.,NASDAQ
GPI,Group 1 Automotive Inc.,NYSE
HD,Home Depot Inc.,NYSE
HMN,Horace Mann Educators Corp.,NYSE
HSY,Hershey Company,NYSE
HVT,Haverty Furniture Companies Inc.,NYSE
IBOC,International Bancshares Corp.,NASDAQ
IEX,IDEX Corp.,NYSE
IPAR,Inter Parfums Inc.,NASDAQ
IVZ,Invesco Limited,NYSE
LAD,Lithia Motors Inc.,NYSE
LFUS,Littelfuse Inc.,NASDAQ
LII,Lennox International Inc.,NYSE
MAR,Marriott International Inc.,NASDAQ
MCO,Moody's Corp.,NYSE
MMC,Marsh & McLennan Companies Inc.,NYSE
NRIM,Northrim BanCorp Inc.,NASDAQ
NWBI,Northwest Bancshares Inc.,NASDAQ
OMC,Omnicom Group Inc.,NYSE
PETS,PetMed Express Inc.,NASDAQ
PLOW,Douglas Dynamics Inc.,NYSE
PNBI,Pioneer Bankshares Inc.,
PRI,Primerica Inc.,NYSE
RECN,Resources Connection Inc.,NASDAQ
ROIC,Retail Opportunity Investments Corp.,NASDAQ
SMG,Scotts Miracle-Gro Company,NYSE
SMP,Standard Motor Products Inc.,NYSE
SPG,Simon Property Group Inc.,NYSE
SYBT,Stock Yards Bancorp Inc.,NASDAQ
TCO,Taubman Centers Inc.,NYSE
TSCO,Tractor Supply Company,NASDAQ
TTC,Toro Company,NYSE
UFS,Domtar Corp.,NYSE
UNH,UnitedHealth Group Inc.,NYSE
UPS,United Parcel Service Inc.,NYSE
WDFC,WD-40 Company,NASDAQ
WEN,Wendy's Company,NASDAQ
WINA,Winmark Corp.,NASDAQ
WRK,WestRock Company,NYSE
WYND,Wyndham Destinations Inc.,NYSE
AEP,American Electric Power Co.,NYSE
AIV,Apartment Investment & Management Co.,NYSE
AJG,Arthur J. Gallagher & Co.,NYSE
ALE,Allete Inc.,NYSE
ALL,Allstate Corp.,NYSE
ALV,Autoliv Inc.,NYSE
AMGN,Amgen Inc.,NASDAQ
AMT,American Tower Corp.,NYSE
AMTD,TD Ameritrade Holding Corp.,NASDAQ
ANTM,Anthem Inc.,NYSE
APTS,Preferred Apartment Communities Inc.,NYSE
ARE,Alexandria Real Estate Equities Inc.,NYSE
ATLO,Ames National Corp.,NASDAQ
AUB,Atlantic Union Bankshares Corp.,NASDAQ
AVGO,Broadcom Limited,NASDAQ
AVX,AVX Corp.,NYSE
AVY,Avery Dennison Corp.,NYSE
BBT,BB&T Corp.,NYSE
BK,Bank of New York Mellon Corp.,NYSE
BKSC,Bank of South Carolina Corp.,NASDAQ
BMTC,Bryn Mawr Bank Corp.,NASDAQ
CME,CME Group Inc.,NASDAQ
COLB,Columbia Banking System Inc.,NASDAQ
CPT,Camden Property Trust,NYSE
CSCO,Cisco Systems Inc.,NASDAQ
CUBE,CubeSmart,NYSE
CVLY,Codorus Valley Bancorp Inc.,NASDAQ
DDS,Dillard's Inc.,NYSE
DEI,Douglas Emmett Inc.,NYSE
DFS,Discover Financial Services,NYSE
DIS,Walt Disney Company,NYSE
EE,El Paso Electric Co.,NYSE
EL,Estee Lauder Companies Inc.,NYSE
EMCF,Emclaire Financial Corp.,NASDAQ
EMCI,EMC Insurance Group Inc.,NASDAQ
EMN,Eastman Chemical Co.,NYSE
EPR,EPR Properties,NYSE
ESCA,Escalade Inc.,NASDAQ
FAF,First American Financial Corp.,NYSE
FDEF,First Defiance Financial Corp.,NASDAQ
FFG,FBL Financial Group Inc.,NYSE
FFIN,First Financial Bankshares Inc.,NASDAQ
FISI,Financial Institutions Inc.,NASDAQ
FITB,Fifth Third Bancorp,NASDAQ
FL,Foot Locker Inc.,NYSE
FLIR,Flir Systems Inc.,NASDAQ
GATX,GATX Corp.,NYSE
GIL,Gildan Activewear Inc.,NYSE
GLW,Corning Inc.,NYSE
GNTX,Gentex Corp.,NASDAQ
GS,Goldman Sachs Group Inc.,NYSE
HBAN,Huntington Bancshares Inc.,NASDAQ
HBNC,Horizon Bancorp,NASDAQ
HFWA,Heritage Financial Corp.,NASDAQ
HNI,HNI Corp.,NYSE
HOG,Harley-Davidson Inc.,NYSE
HOMB,Home Bancshares Inc.,NASDAQ
HPQ,HP Inc.,NYSE
HRC,Hill-Rom Holdings Inc.,NYSE
HUM,Humana Inc.,NYSE
HVT-A,Haverty Furniture Companies Inc. A,
INDB,Independent Bancorp MA,NASDAQ
INTU,Intuit Inc.,NASDAQ
IP,International Paper Co.,NYSE
IRM,Iron Mountain Inc.,NYSE
JCOM,j2 Global Inc.,NASDAQ
JLL,Jones Lang Lasalle,NYSE
JPM,JPMorgan Chase & Co.,NYSE
KEY,KeyCorp,NYSE
KLAC,KLA-Tencor Corp.,NASDAQ
KSS,Kohl's Corp.,NYSE
KW,Kennedy-Wilson Holdings Inc.,NYSE
LBAI,Lakeland Bancorp Inc.,NASDAQ
LEA,Lear Corp.,NYSE
LM,Legg Mason Inc.,NYSE
LMAT,LeMaitre Vascular Inc.,NASDAQ
LNC,Lincoln National Corp.,NYSE
LTXB,LegacyTexas Financial Group Inc.,NASDAQ
LYB,LyondellBasell Industries NV,NYSE
MAA,Mid-America Apartment Communities Inc.,NYSE
MAC,Macerich Company,NYSE
MAIN,Main Street Capital Corp.,NYSE
MAN,ManpowerGroup Inc.,NYSE
MEOH,Methanex Corp.,NASDAQ
MGA,Magna International Inc.,NYSE
MLGF,Malaga Financial Corp.,
MOFG,MidWest One Financial Group Inc.,NASDAQ
MORN,Morningstar Inc.,NASDAQ
MPC,Marathon Petroleum Corp.,NYSE
MSI,Motorola Solutions Inc.,NYSE
MTN,Vail Resorts Inc.,NYSE
NP,Neenah Paper Inc.,NYSE
NSP,Insperity Inc.,NYSE
OXM,Oxford Industries Inc.,NYSE
PAG,Penske Automotive Group Inc.,NYSE
PAYX,Paychex Inc.,NASDAQ
PCAR,Paccar Inc.,NASDAQ
PDCO,Patterson Companies Inc.,NASDAQ
PFE,Pfizer Inc.,NYSE
PFS,Provident Financial Services Inc.,NYSE
PNC,PNC Financial Services Group Inc.,NYSE
POL,PolyOne Corp.,NYSE
POOL,Pool Corp.,NASDAQ
QNBC,QNB Corp.,
ROK,Rockwell Automation Inc.,NYSE
RS,Reliance Steel & Aluminum Co.,NYSE
SASR,Sandy Spring Bancorp Inc.,NASDAQ
SBUX,Starbucks Corp.,NASDAQ
SCI,Service Corp International,NYSE
SCS,Steelcase Inc.,NYSE
SIX,Six Flags Entertainment Corp.,NYSE
SNA,Snap-on Inc.,NYSE
SOHO,Sotherly Hotels Inc.,NASDAQ
SPTN,SpartanNash Company,NASDAQ
STAG,STAG Industrial Inc.,NYSE
STI,SunTrust Banks Inc.,NYSE
STLD,Steel Dynamics Inc.,NASDAQ
TBNK,Territorial Bancorp,NASDAQ
THO,Thor Industries Inc.,NYSE
TILE,Interface Inc.,NASDAQ
TRN,Trinity Industries Inc.,NYSE
TRNO,Terreno Realty Corp.,NYSE
TXRH,Texas Roadhouse Inc.,NASDAQ
UDR,UDR Inc.,NYSE
USPH,US Physical Therapy Inc.,NYSE
VLO,Valero Energy Corp.,NYSE
VTR,Ventas Inc.,NYSE
WAFD,Washington Federal Inc.,NASDAQ
WASH,Washington Trust Bancorp Inc.,NASDAQ
WBS,Webster Financial Corp.,NYSE
WCN,Waste Connections Inc.,NYSE
WFC,Wells Fargo & Co.,NYSE
WHR,Whirlpool Corp.,NYSE
WMPN,William Penn Bancorp Inc.,
WOR,Worthington Industries Inc.,NYSE
WPP,WPP plc,NYSE
WSBC,WesBanco Inc.,NASDAQ
WTBA,West Bancorp Inc.,NASDAQ
XYL,Xylem Inc.,NYSE
A,Agilent Technologies Inc.,NYSE
AAPL,Apple Inc.,NASDAQ
AAT,American Assets Trust Inc.,NYSE
ABR,Arbor Realty Trust Inc.,NYSE
AES,AES Corp.,NYSE
AGM,Federal Agricultural Mortgage Corp.,NYSE
AGO,Assured Guaranty Ltd.,NYSE
AON,Aon plc,NYSE
APH,Amphenol Corp.,NYSE
APLO,Apollo Bancorp Inc.,
APOG,Apogee Enterprises Inc.,NASDAQ
AVB,Avalonbay Communities Inc.,NYSE
AYR,Aircastle Limited,NYSE
B,Barnes Group Inc.,NYSE
BA,Boeing Company,NYSE
BAH,Booz Allen Hamilton Holding Corp.,NYSE
BAM,Brookfield Asset Management Inc.,NYSE
BGS,B&G Foods Inc.,NYSE
BSET,Bassett Furniture Industries Inc.,NASDAQ
CAKE,Cheesecake Factory Inc.,NASDAQ
CBT,Cabot Corp.,NYSE
CCOI,Cogent Communications Holdings Inc.,NASDAQ
CFFI,C&F Financial Corp.,NASDAQ
CHDN,Churchill Downs Inc.,NASDAQ
CIVB,Civista Bancshares Inc.,NASDAQ
CNO,CNO Financial Group Inc.,NYSE
CORE,Core-Mark Holding Company,NASDAQ
CULP,Culp Inc.,NYSE
DGX,Quest Diagnostics Inc.,NYSE
DNKN,Dunkin' Brands Group Inc.,NASDAQ
DOX,Amdocs Limited,NASDAQ
EGP,EastGroup Properties Inc.,NYSE
EQM,EQT Midstream Partners LP,NYSE
EVBN,Evans Bancorp Inc.,AMEX
EXPE,Expedia Inc.,NASDAQ
FCBC,First Community Bancshares Inc.,NASDAQ
FHN,First Horizon Narional Corp.,NYSE
FLXS,Flexsteel Industries Inc.,NASDAQ
FMBH,First Mid-Illinois Bancshares Inc.,NASDAQ
FNF,Fidelity National Financial Inc.,NYSE
FRC,First Republic Bank,NYSE
FRME,First Merchants Corp.,NASDAQ
FUN,Cedar Fair LP,NYSE
GBCI,Glacier Bancorp Inc.,NASDAQ
GEO,GEO Group Inc.,NYSE
GFF,Griffon Corp.,NYSE
HIG,Hartford Financial Services Group Inc.,NYSE
HON,Honeywell International Inc.,NYSE
HPT,Hospitality Properties Trust,NASDAQ
HTA,Healthcare Trust of America Inc.,NYSE
HWBK,Hawthorn Bancshares Inc.,NASDAQ
HY,Hyster-Yale Materials Handling Inc.,NYSE
INGR,Ingredion Inc.,NYSE
IR,Ingersoll-Rand plc,NYSE
KALU,Kaiser Aluminum Corp.,NASDAQ
KIM,Kimco Realty Corp.,NYSE
LKFN,Lakeland Financial Corp.,NASDAQ
LUV,Southwest Airlines Co.,NYSE
LVS,Las Vegas Sands Corp.,NYSE
MA,MasterCard Inc.,NYSE
MATX,Matson Inc.,NYSE
MBWM,Mercantile Bank Corp.,NASDAQ
MDLZ,Mondelez International Inc.,NASDAQ
MKSI,MKS Instruments Inc.,NASDAQ
MLHR,Herman Miller Inc.,NASDAQ
MRK,Merck & Company,NYSE
NDAQ,Nasdaq Inc.,NASDAQ
NI,NiSource Inc.,NYSE
NTRS,Northern Trust Corp.,NASDAQ
OLP,One Liberty Properties Inc.,NYSE
PEG,Public Service Enterprise Group Inc.,NYSE
PKG,Packaging Corp of America,NYSE
PNM,PNM Resources Inc.,NYSE
PPBN,Pinnacle Bankshares Corp.,
PROV,Provident Financial Holdings Inc.,NASDAQ
PSX,Phillips 66,NYSE
RCL,Royal Caribbean Cruises Ltd.,NYSE
RMD,ResMed Inc.,NYSE
SBGI,Sinclair Broadcast Group Inc.,NASDAQ
SBRA,Sabra Health Care REIT Inc.,NASDAQ
SCVL,Shoe Carnival Inc.,NASDAQ
SFNC,Simmons First National Corp.,NASDAQ
SIG,Signet Jewelers Limited,NYSE
SLG,SL Green Realty Corp.,NYSE
SMBC,Southern Missouri Bancorp Inc.,NASDAQ
SOMC,Southern Michigan Bancorp Inc.,
SSB,South State Corp.,NASDAQ
STT,State Street Corp.,NYSE
SXI,Standex International Inc.,NYSE
TCF,TCF Financial Corp.,NASDAQ
TOWN,Towne Bank,NASDAQ
TYBT,Trinity Bank NA,
UMPQ,Umpqua Holdings Corp.,NASDAQ
USB,U.S. Bancorp,NYSE
WAB,Westinghouse Air Brake Technologies Corp.,NYSE
WLTW,Willis Towers Watson plc,NASDAQ
WRI,Weingarten Realty Investors,NYSE
WY,Weyerhaeuser Company,NYSE
XRAY,Dentsply Sirona Inc.,NASDAQ
ABBV,AbbVie Inc.,NYSE
ACC,American Campus Communities,NYSE
ADC,Agree Realty Corp.,NYSE
AGCO,AGCO Corp.,NYSE
AHH,Armada Hoffler Properties Inc.,NYSE
AIMC,Altra Industrial Motion Corp.,NASDAQ
AL,Air Lease Corp.,NYSE
ALK,Alaska Air Group Inc.,NYSE
AMSF,Amerisafe Inc.,NASDAQ
ARGO,Argo Group International Holdings Ltd.,NYSE
ASB,Associated Banc-Corp,NYSE
AVT,Avnet Inc.,NASDAQ
AXP,American Express Company,NYSE
BANR,Banner Corp.,NASDAQ
BORT,Bank of Botetourt,
BPY,Brookfield Property Partners LP,NASDAQ
BSRR,Sierra Bancorp,NASDAQ
BXS,BancorpSouth Inc.,NYSE
CARO,Carolina Financial Corp,NASDAQ
CHCO,City Holding Co.,NASDAQ
CLDB,Cortland Bancorp,NASDAQ
CONE,CyrusOne Inc.,NASDAQ
CPF,Central Pacific Financial Corp.,NYSE
CRI,Carter's Inc.,NYSE
CSGS,CSG Systems International Inc.,NASDAQ
CTO,Consolidated-Tomoka Land Co.,AMEX
CVBF,CVB Financial Corp.,NASDAQ
CVGW,Calavo Growers Inc.,NASDAQ
DAL,Delta Air Lines Inc.,NYSE
DKL,Delek Logistics Partners LP,NYSE
DPZ,Domino's Pizza Inc.,NYSE
EHC,Encompass Health Corp.,NYSE
EXPO,Exponent Inc.,NASDAQ
EXSR,Exchange Bank (Santa Rosa CA),
FBHS,Fortune Brands Home & Security,NYSE
FBIZ,First Business Financial Services Inc.,NASDAQ
FBVA,Farmers Bankshares Inc.,
FCCO,First Community Corp.,NASDAQ
FIX,Comfort Systems USA Inc.,NYSE
FMBI,First Midwest Bancorp,NASDAQ
FMBM,F&M Bank Corp.,
FORR,Forrester Research Inc.,NASDAQ
FR,First Industrial Realty Trust Inc.,NYSE
FSBW,FS Bancorp Inc.,NASDAQ
GABC,German American Bancorp,NASDAQ
GAIN,Gladstone Investment Corp.,NASDAQ
GTY,Getty Realty Corp.,NYSE
HII,Huntington Ingalls Industries Inc.,NYSE
HLAN,Heartland BanCorp,
HOPE,Hope Bancorp Inc.,NASDAQ
HTBK,Heritage Commerce Corp.,NASDAQ
HURC,Hurco Companies Inc.,NASDAQ
